"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_D3.0mm";1;"LED";;;
2;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
3;"J2";"C64_Original_DIN-6_Circular";1;"C64 Serial";;;
4;"R4,R5,R6,R7,R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"100K";;;
5;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega32U2-AU";;;
6;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74LS06";;;
7;"Y1";"Crystal_HC18-U_Vertical";1;"16Mhz";;;
8;"J3";"DSUB-15_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"Parallel_DB15F";;;
9;"J4";"PinHeader_1x07_P2.54mm_Horizontal";1;"ICSP_Prog";;;
10;"C1,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22pF";;;
11;"C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
12;"C4,C5,C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"100nF";;;
13;"R1,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"22R";;;
14;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"680R";;;
15;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"HLine1_FLAG_C4";;;
16;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"HLine2_PC_C5";;;
